bookUrl,origin,originName,type,name,author,kind,coverUrl,intro,wordCount,latestChapterTitle,tocUrl,time,variable,originOrder,chapterWordCountText,chapterWordCount,respondTime
https://manwane.cc/video/23138,https://manwane.cc#大改,🔞漫蛙动漫,4,一人之下 第六季,"曹云图,小连杀,藤新","动作,动画",https://mwdm.mwtt.cc/202601/cover/23138.jpg,异人再度集结，哪都通全新任务开启！甲申之乱到底隐藏怎样的真相？二十四节谷危机重重，一口气半年番，冒险即将展开，敬请期待！,,,,1787641916763,,67,,-1,-1
https://manwane.cc/video/26833,https://manwane.cc#大改,🔞漫蛙动漫,4,一人之下 第一季,"田丸笃志,饭田友子,早见沙织,野岛健儿,立花慎之介,山口胜平,宫泽正,日笠阳子,三宅麻理惠,原由实,鸟海浩辅","中国动漫,动漫",https://mwdm.mwtt.cc/202601/cover/26833.jpg,"这个世界是存在异人的。
张楚岚就是一个隐藏在普通人中的异人。在生命的前19年中，他一直小心隐藏着自己和别人的不同。直到有一天，神秘少女冯宝宝找上了他。从此他被活尸追，被怪人砍，被卷入了前所未见的麻烦之中…",,,,1787641916763,,67,,-1,-1
https://manwane.cc/video/16716,https://manwane.cc#大改,🔞漫蛙动漫,4,一人之下第五季,"曹云图,小连杀,巩大方,赵铭洲,藤新,图特哈蒙,宝木中阳,彭尧","剧情,动作,动画",https://mwdm.mwtt.cc/202601/cover/16716.jpg,张楚岚、冯宝宝和临时工一行追捕陈朵，来到了碧游村。在查清了陈朵杀害廖忠真相的同时，对马仙洪和修身炉的处理也已经箭在弦上。夜黑风高夜，正是放火时，大战一触即发！决战·碧游村篇强势来袭！,,,,1787641916763,,67,,-1,-1
https://manwane.cc/video/12179,https://manwane.cc#大改,🔞漫蛙动漫,4,一人之下第六季,"曹云图,小连杀,藤新","动作,动画",https://mwdm.mwtt.cc/202601/cover/12179.jpg,异人再度集结，哪都通全新任务开启！甲申之乱到底隐藏怎样的真相？二十四节谷危机重重，一口气半年番，冒险即将展开，敬请期待！,,,,1787641916763,,67,,-1,-1
https://manwane.cc/video/27171,https://manwane.cc#大改,🔞漫蛙动漫,4,一人之下 第二季,"曹云图,小连杀,彭尧,宝木中阳,张杰,山新,藤新,图特哈蒙,张遥函,张云明,陈张太康,张震,TK",中国动漫,https://mwdm.mwtt.cc/202601/cover/27171.jpg,这个世界是存在异人的。刚刚接触异人世界的张楚岚，加入了管理异人的组织“哪都通”。为了解开爷爷和自身的秘密，张楚岚和冯宝宝一起前往龙虎山天师府参加异人界的盛会——罗天大醮，并与众多异人高手对战。,,,,1787641916763,,67,,-1,-1
https://manwane.cc/video/27169,https://manwane.cc#大改,🔞漫蛙动漫,4,一人之下 第四季,"曹云图,小连杀,宝木中阳",中国动漫,https://mwdm.mwtt.cc/202601/cover/27169.jpg,哪都通公司表面上是一家快递公司，实际上是国内管理异人的秘密组织，担负着维持异人和正常社会平衡的重任。然而陆南区的临时工陈朵杀死了负责人并叛逃。哪都通总部下达命令，六大区临时工联手追捕陈朵……为了保住冯宝宝的临时工身份，张楚岚、冯宝宝以及其他哪都通临时工共同前往碧游村执行任务。,,,,1787641916763,,67,,-1,-1
https://manwane.cc/video/19661,https://manwane.cc#大改,🔞漫蛙动漫,4,一人之下第二季,"曹云图,小连杀,彭尧,宝木中阳,张杰,山新,藤新,图特哈蒙,张遥函,张云明,陈张太康,张震,TK","喜剧,动作,动画,奇幻",https://mwdm.mwtt.cc/202601/cover/19661.jpg,这个世界是存在异人的。刚刚接触异人世界的张楚岚，加入了管理异人的组织“哪都通”。为了解开爷爷和自身的秘密，张楚岚和冯宝宝一起前往龙虎山天师府参加异人界的盛会——罗天大醮，并与众多异人高手对战。,,,,1787641916763,,67,,-1,-1
https://manwane.cc/video/16717,https://manwane.cc#大改,🔞漫蛙动漫,4,一人之下第四季,"曹云图,小连杀,宝木中阳","剧情,动画,冒险",https://mwdm.mwtt.cc/202601/cover/16717.jpg,哪都通公司表面上是一家快递公司，实际上是国内管理异人的秘密组织，担负着维持异人和正常社会平衡的重任。然而陆南区的临时工陈朵杀死了负责人并叛逃。哪都通总部下达命令，六大区临时工联手追捕陈朵……为了保住冯宝宝的临时工身份，张楚岚、冯宝宝以及其他哪都通临时工共同前往碧游村执行任务。,,,,1787641916764,,67,,-1,-1
https://manwane.cc/video/26941,https://manwane.cc#大改,🔞漫蛙动漫,4,一人之下 第一季（动态漫）,"冯宝宝,张楚岚",中国动漫,https://mwdm.mwtt.cc/202601/cover/26941.jpg,民国时期，发生了一场“异人世界”的重大骚乱，对后世影响深远，1944年，在四川深山突然出现一个奇怪的女孩——冯宝宝，为调查自己的身世，许多年以后冯宝宝根据那场骚乱的罪魁祸首提供的信息找到了他的孙子张楚岚，从此张楚岚的生活被彻底颠覆，与冯宝宝一同踏上了“异人”之路。,,,,1787641916764,,67,,-1,-1
https://manwane.cc/video/26725,https://manwane.cc#大改,🔞漫蛙动漫,4,一人之下剧场版：锈铁重现 中文版,冯宝宝 张楚岚 柳生爱子 林檎 瑛太,中国动漫,https://mwdm.mwtt.cc/202601/cover/26725.jpg,张楚岚和冯宝宝二人所在的哪都通公司派遣了一个特别任务——护送昔日的宝刀“蛭丸”到边境，完成和瀛国石川家一个几十年的约定。张楚岚和冯宝宝将面对陌生的队友、冬日恶劣的北地天气和虎视眈眈的夺刀强敌。一场“蛭丸”保卫战在林海雪原打响。,,,,1787641916764,,67,,-1,-1
