burst start 04:22:46.998
TAP_OK 04:22:48.744
1 1790194967023 1790194969063
2 1790194969397 1790194972311
3 1790194972633 1790194974662
4 1790194974984 1790194977014
5 1790194977336 1790194979355
6 1790194979676 1790194981720
7 1790194982042 1790194984077
8 1790194984398 1790194986418
9 1790194986739 1790194988750
10 1790194989072 1790194991097
11 1790194991420 1790194993442
12 1790194993765 1790194995796
13 1790194996118 1790194998141
14 1790194998461 1790195000492
15 1790195000813 1790195002842
16 1790195003165 1790195005193
17 1790195005516 1790195007550
18 1790195007874 1790195009920
19 1790195010246 1790195012287
20 1790195012611 1790195014654
21 1790195014981 1790195017034
22 1790195017358 1790195019399
23 1790195019724 1790195021761
24 1790195022084 1790195024124
25 1790195024446 1790195026501
burst end 04:23:46.823
