burst start 04:34:08.247
1 1790195648270 1790195648438
2 1790195648760 1790195648923
TAP_OK 04:34:10.015 (a2 切换->瀚海书阁)
3 1790195649244 1790195652070
4 1790195652397 1790195652593
5 1790195652916 1790195653084
6 1790195653407 1790195653576
7 1790195653901 1790195654080
8 1790195654407 1790195656468
9 1790195656793 1790195656974
10 1790195657300 1790195657493
11 1790195657818 1790195659841
12 1790195660166 1790195660338
13 1790195660659 1790195662690
14 1790195663012 1790195663185
15 1790195663509 1790195663679
16 1790195664001 1790195666022
17 1790195666345 1790195666525
18 1790195666846 1790195668873
19 1790195669195 1790195669369
20 1790195669695 1790195671719
21 1790195672041 1790195672225
22 1790195672549 1790195672715
23 1790195673038 1790195675055
24 1790195675378 1790195675555
25 1790195675878 1790195677905
burst end 04:34:38.228
