burst start 04:45:57.951
1 1790196357977 1790196358165
2 1790196358493 1790196358672
TAP_OK 04:45:59.734 (a3 切换->绿色小说)
3 1790196358996 1790196363238
4 1790196363565 1790196363742
5 1790196364067 1790196364236
6 1790196364563 1790196366614
7 1790196366939 1790196367129
8 1790196367454 1790196367631
9 1790196367954 1790196369986
10 1790196370312 1790196370507
11 1790196370832 1790196372903
12 1790196373227 1790196373417
13 1790196373741 1790196375820
14 1790196376144 1790196376334
15 1790196376660 1790196376845
16 1790196377170 1790196379248
17 1790196379576 1790196379787
18 1790196380114 1790196382185
19 1790196382513 1790196382715
20 1790196383043 1790196383265
21 1790196383598 1790196385660
22 1790196385985 1790196386163
23 1790196386488 1790196388575
24 1790196388903 1790196389079
25 1790196389402 1790196391463
burst end 04:46:31.789
