09-25 05:22:48.919 34671 34671 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7991d429fbe0 in tid 34671 (Shutdown thread), pid 34671 (Shutdown thread)
09-25 05:22:56.712 34856 34856 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x71db022c9be0 in tid 34856 (Shutdown thread), pid 34856 (Shutdown thread)
09-25 05:23:02.710 35383 35383 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7a95e70c9be0 in tid 35383 (Shutdown thread), pid 35383 (Shutdown thread)
09-25 05:23:39.982 35445 35445 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7067ceea0be0 in tid 35445 (Shutdown thread), pid 35445 (Shutdown thread)
09-25 05:23:44.280 35482 35482 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7515c76ebbe0 in tid 35482 (Shutdown thread), pid 35482 (Shutdown thread)
09-25 05:23:50.677 35523 35523 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7dfc01addbe0 in tid 35523 (Shutdown thread), pid 35523 (Shutdown thread)
09-25 05:24:31.802 37822 37822 F libc    : Fatal signal 11 (SIGSEGV), code 2 (SEGV_ACCERR), fault addr 0x7f8da4e62be0 in tid 37822 (Shutdown thread), pid 37822 (Shutdown thread)
09-25 05:24:51.391 39022 39022 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x716a4a4c1be0 in tid 39022 (Shutdown thread), pid 39022 (Shutdown thread)
09-25 05:25:16.825 40543 40543 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x71d3ea0adbe0 in tid 40543 (Shutdown thread), pid 40543 (Shutdown thread)
09-25 05:25:22.274 40654 40654 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x70a9f3ad8be0 in tid 40654 (Shutdown thread), pid 40654 (Shutdown thread)
09-25 05:25:27.796 41026 41026 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7c8d5d8c7be0 in tid 41026 (Shutdown thread), pid 41026 (Shutdown thread)
09-25 05:26:19.232 41369 41369 F libc    : Fatal signal 11 (SIGSEGV), code 2 (SEGV_ACCERR), fault addr 0x747433e8ebe0 in tid 41369 (Shutdown thread), pid 41369 (Shutdown thread)
09-25 05:26:40.496 41519 41519 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x799f762a1be0 in tid 41519 (Shutdown thread), pid 41519 (Shutdown thread)
09-25 05:26:57.078 42124 42124 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x72648de9dbe0 in tid 42124 (Shutdown thread), pid 42124 (Shutdown thread)
09-25 05:27:25.651 43490 43490 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x74c5cd6a3be0 in tid 43490 (Shutdown thread), pid 43490 (Shutdown thread)
09-25 05:27:37.329 44121 44121 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7ee091aaebe0 in tid 44121 (Shutdown thread), pid 44121 (Shutdown thread)
09-25 05:27:43.245 44444 44444 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7b2526509be0 in tid 44444 (Shutdown thread), pid 44444 (Shutdown thread)
09-25 05:27:49.057 44883 44883 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x77b74b2d7be0 in tid 44883 (Shutdown thread), pid 44883 (Shutdown thread)
09-25 05:28:02.498 45738 45738 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7af90ab0fbe0 in tid 45738 (Shutdown thread), pid 45738 (Shutdown thread)
09-25 05:28:41.615 47593 47593 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7f5f2ad13be0 in tid 47593 (Shutdown thread), pid 47593 (Shutdown thread)
09-25 05:28:52.062 47645 47645 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7b836da5cbe0 in tid 47645 (Shutdown thread), pid 47645 (Shutdown thread)
09-25 05:29:26.894 47689 47689 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x777c9645cbe0 in tid 47689 (Shutdown thread), pid 47689 (Shutdown thread)
09-25 05:29:53.242 47741 47741 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7816e7674be0 in tid 47741 (Shutdown thread), pid 47741 (Shutdown thread)
09-25 05:30:04.493 47782 47782 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x724044a92be0 in tid 47782 (Shutdown thread), pid 47782 (Shutdown thread)
09-25 05:30:23.249 47821 47821 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7ddfe52c7be0 in tid 47821 (Shutdown thread), pid 47821 (Shutdown thread)
